stock_number,brand,model,sub_type,horse_power,gear_type,fuel_type,mileage,build_year,co2_emission,expected_sales_price,sold_price
XW04237,Hyundai,Santa Fe,2.2 CRDi,197,Manual,Diesel,83411,2015,159,19965,20499.0
AJ73181,Hyundai,i30,1.4,100,Manual,Benzin,50886,2014,139,10300,10299.0
RX84576,Mitsubishi,ASX,1.8 DI-D,115,Manual,Diesel,62020,2015,119,14999,14999.0
BZ90311,Renault,Megane,1.2 TCe Energy,132,Manual,Benzin,112945,2016,119,13599,12699.0
FC40275,Citroen,Berlingo,BlueHDi 100,102,Manual,Diesel,30128,2019,113,26499,25999.0
GT54698,Jeep,Compass,2.0 M-Jet,140,Automatic,Diesel,54679,2018,148,29000,28999.0
WP60509,Mercedes-Benz,A-Klasse,A 200 CDI,135,Automatic,Diesel,69628,2017,103,23590,23299.0
WE37091,BMW,3er,320d,190,Automatic,Diesel,112254,2016,119,23999,23999.0
WP45667,Peugeot,2008,1.2 VTi,82,Manual,Benzin,87472,2013,114,11450,10599.0
XZ76943,Citroen,C4 Cactus,1.6 Blue-HDi,100,Manual,Diesel,94830,2017,95,14000,12299.0
CP04982,Audi,A3,1.5 TSI ACT,150,Duplex,Benzin,28598,2018,113,23900,23499.0
NX10598,Audi,A5,S Line 2.0 TFSI,190,Manual,Benzin,52664,2018,130,30999,30199.0
WU58286,Peugeot,Partner,1.6 Blue-HDi,100,Manual,Diesel,53926,2017,113,18099,17899.0
KH47366,Dacia,Sandero II,0.9 TCe,90,Manual,Benzin,71889,2017,115,11699,11699.0
SE29424,Kia,Stonic,1.0 TGDI,120,Manual,Benzin,25829,2019,130,18900,18299.0
JR95970,Renault,Scenic,1.3 TCe,140,Automatic,Benzin,23899,2019,131,20900,20599.0
CR43989,Mazda,6,2.0 GE,145,Manual,Benzin,97008,2016,129,15600,15399.0
TH29211,Citroen,C3,1.2 PureTech,82,Manual,Benzin,27148,2017,109,13499,12299.0
BH24489,Renault,Megane,dCi 110,110,Manual,Diesel,140585,2013,114,8499,8299.0
AR11255,Chevrolet,Spark,1.0,68,Manual,Benzin,50064,2010,119,5599,5599.0
VC09540,Honda,Civic,1.0 VTEC,130,Manual,Benzin,75764,2018,117,19700,19199.0
ZL77642,Kia,Stonic,1.0 TGDI,120,Manual,Benzin,22845,2019,130,16990,16399.0
VM60130,Toyota,Yaris,1.5 ,110,Manual,Benzin,46324,2018,109,13199,13199.0
YX49115,Volkswagen,Golf VII,1.0 TSI,116,Manual,Benzin,19731,2020,110,19500,20899.0
EY45456,Peugeot,Partner,1.6 Blue-HDi,120,Manual,Diesel,39183,2018,113,18900,18999.0
RY72850,Citroen,C3,1.2 e-THP,110,Manual,Benzin,41301,2018,107,14199,14199.0
KX15489,Hyundai,i30,2.0 TGDI,275,Manual,Benzin,39282,2018,163,27700,27699.0
NS06896,Hyundai,Tucson,1.6,132,Manual,Benzin,11206,2019,158,20799,20799.0
TW53429,Kia,Niro,1.6 GDi,104,Automatic,Other,49684,2019,86,22499,22499.0
DT72001,Seat,Alhambra,2.0 TDI,170,Duplex,Diesel,138840,2012,154,15899,15899.0
NJ50487,Subaru,XV,2.0 Diesel,147,Manual,Diesel,53885,2018,141,19900,20399.0
EX59936,Audi,TT,1.8 TFSI,160,Manual,Benzin,54357,2014,149,20999,20099.0
JX99415,Peugeot,308,1.6 HDi,92,Manual,Diesel,57610,2012,110,8699,8699.0
PK95641,Audi,A1,1.6 TDI,115,Manual,Diesel,61368,2016,92,16200,15699.0
NX36055,Mitsubishi,Outlander,200 MPI CVT,150,Automatic,Benzin,67346,2018,144,20999,19899.0
GG56441,Citroen,C4 Cactus,1.2 e-THP,110,Manual,Benzin,36236,2018,106,16599,15899.0
JH49609,Citroen,C3,1.5 Blue-HDi,102,Manual,Diesel,8618,2020,117,18350,16599.0
ZX81320,Seat,Leon,1.6 TDI StSp,105,Manual,Diesel,98713,2015,99,13000,12499.0
VB30373,Citroen,C4,1.6 Blue-HDi,100,Manual,Diesel,59251,2017,98,13704,13999.0
HS12213,MINI,MINI,Cooper,135,Automatic,Benzin,49740,2015,109,17150,17199.0
AS33545,Opel,Adam,1.4 XEL ,87,Manual,Benzin,95318,2017,118,10499,9599.0
RB88376,Renault,Megane,S.T BOSE,140,Automatic,Benzin,55522,2019,128,19499,19199.0
TA71901,Honda,Civic,1.5 VTEC Turbo,182,Manual,Benzin,12477,2019,128,24990,24999.0
HS53306,Peugeot,Rifter,1.5 Blue-HDi,131,Manual,Diesel,60751,2020,113,27199,27199.0
EE28525,Peugeot,5008,1.2 e-THP,130,Manual,Benzin,45792,2018,117,25999,25999.0
PT30411,Citroen,C4 Grand Picasso,1.6 Blue-HDi,120,Manual,Diesel,60346,2016,106,17895,17899.0
SK40319,Renault,Clio,1.5 dCi Energy SS,90,Manual,Diesel,50326,2013,93,9990,9499.0
TS84523,Citroen,C3,HDI 70,68,Manual,Diesel,78124,2015,99,9990,9399.0
YG73893,Renault,Clio,Zen TCe,101,Manual,Benzin,14131,2020,99,15999,15999.0
LV56484,Seat,Ibiza,1.6 TDI,90,Manual,Diesel,125308,2013,109,8650,8499.0
BT04915,Suzuki,Jimny,1.3,85,Manual,Benzin,58277,2011,162,13490,12999.0
AX68740,Peugeot,2008,1.6 BlueHDi  100cv,100,Manual,Diesel,102098,2016,97,14500,13899.0
BL10912,Mitsubishi,ASX,1.6,117,Manual,Benzin,30718,2018,152,17800,17799.0
MH40229,Mazda,3,2.0 88kw,120,Manual,Benzin,14501,2018,119,17299,17299.0
FL02565,Toyota,Yaris,1.5 Hybrid,75,Automatic,Other,31353,2018,82,16799,16799.0
EJ49556,Ford,Focus,1.0 EcoBoost,125,Manual,Benzin,77849,2017,108,15399,15199.0
LM03777,Fiat,500,1.2,70,Manual,Benzin,56165,2016,115,10499,10499.0
CA64718,MINI,Clubman,Cooper D,150,Manual,Diesel,29089,2017,113,20990,19399.0
MF92343,Jeep,Compass,1.4 M-Air,140,Manual,Benzin,41799,2018,143,21500,19899.0
MU77775,Kia,Rio,1.2 CVVT,85,Manual,Benzin,38629,2018,109,12000,11599.0
MN07961,Toyota,C-HR,1.8 Hybrid,122,Automatic,Other,17915,2019,87,24725,23299.0
LP46780,Volvo,XC 60,2.0 D3,150,Manual,Diesel,72543,2017,117,24500,22199.0
YR63333,Kia,Sportage,1.6 GDI,132,Manual,Benzin,47565,2019,152,18790,18799.0
DV53171,Smart,fortwo,0.9 Turbo,90,Duplex,Benzin,110814,2016,96,10490,9699.0
MV37409,Opel,Insignia,1.5 SIDI Turbo,140,Manual,Benzin,47407,2018,129,18990,18999.0
GP26286,Peugeot,208,Allure,82,Manual,Benzin,63696,2016,104,11190,10699.0
JG54356,Volkswagen,Golf,1.0 TSI,116,Manual,Benzin,6228,2019,111,19500,19499.0
LY52330,Audi,A1,1.6 TDI,115,Manual,Diesel,38809,2018,100,18999,18999.0
XD16355,Hyundai,i30,2.0 TGDI,275,Manual,Benzin,41324,2018,178,29490,26899.0
TJ02063,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 200,135,Duplex,Diesel,57232,2018,106,27599,27599.0
CW01550,Hyundai,Tucson,1.6 TGDI,177,Manual,Benzin,12030,2018,169,20960,19699.0
VJ66578,Ford,Ka+,1.2 Ti-VCT,85,Manual,Benzin,7397,2017,114,11999,11699.0
WE59196,Ford,Ka+,1.2 TiVCT,85,Manual,Benzin,31828,2018,114,10999,10999.0
ZG79154,Mazda,CX-5,2.0,165,Manual,Benzin,66331,2015,139,17900,16599.0
FR96596,Renault,Megane,1.2 TCe Energy,132,Manual,Benzin,30623,2017,119,16490,16499.0
MV63904,Peugeot,Rifter,1.2 PureTech,110,Manual,Benzin,33656,2019,132,25500,25499.0
DZ86619,Citroen,Berlingo,Multispace 20 Aniv,100,Manual,Diesel,110440,2018,113,16999,16599.0
KT14057,Hyundai,i20,1.2 MPI,85,Manual,Benzin,79128,2017,122,10499,10499.0
YP33114,Peugeot,2008,1.5 Blue-HDi S&S,120,Automatic,Diesel,18815,2019,103,21500,19899.0
UK81987,Toyota,Auris,1.8 Hybrid,100,Automatic,Other,27816,2018,94,17499,17499.0
VC77388,Nissan,Juke,1.5 dCi,110,Manual,Diesel,50589,2012,129,11599,11599.0
GS11089,Toyota,Verso,1.6,132,Manual,Benzin,82788,2018,154,17499,17499.0
AV12935,Toyota,Auris,1.8 Hybrid,100,Automatic,Other,123996,2018,112,13990,14399.0
RR36405,BMW,1er,118d,150,Automatic,Diesel,31850,2018,118,22999,22699.0
JE52478,Peugeot,208,1.2 Puretech,82,Manual,Benzin,29146,2018,109,12499,12499.0
WH97605,Volkswagen,Touran,2.0 TDI,150,Manual,Diesel,75032,2016,117,23900,23899.0
PX76001,Citroen,Jumpy,Talla XS BlueHDi,120,Manual,Diesel,6708,2019,128,26999,26999.0
HK28447,Citroen,C3,1.4 HDi,68,Manual,Diesel,135995,2013,101,6999,6999.0
VT05755,Audi,A5,1.8 TFSI,177,Automatic,Benzin,39711,2016,146,27299,27299.0
KY59816,Opel,Mokka X,1.4 T,140,Manual,Benzin,75057,2018,140,15990,14899.0
RE38521,Citroen,C3 Aircross,1.2 PureTech SS,131,Automatic,Benzin,8132,2021,142,23199,22899.0
CF45438,Seat,Ibiza,1.0,80,Manual,Benzin,13490,2019,112,13999,13999.0
PY23971,Ford,Focus,1.0 EcoBoost Active,125,Manual,Benzin,56542,2019,107,19000,18099.0
MU43174,Opel,Astra,1.6 CDTI SS,110,Manual,Diesel,116334,2014,97,9399,9199.0
YN67880,Peugeot,2008,1.6 e-HDi,92,Manual,Diesel,35296,2015,103,12499,12499.0
TW35662,Ford,Focus,1.0 EcoBoost Edition,125,Manual,Benzin,40306,2014,114,10890,10799.0
EE23983,Hyundai,ix35,1.6 GDi BlueDrive,135,Manual,Benzin,101464,2015,149,12999,11599.0
PU74446,Ford,Kuga,2.0 TDCi 120 ,120,Manual,Diesel,64280,2015,120,16599,16199.0
XY82663,Citroen,Berlingo,1.5 Blue-HDi,102,Manual,Diesel,10990,2021,137,26999,26499.0
ZV08454,Seat,Leon,1.6 TDI,115,Manual,Diesel,127350,2017,108,13799,13799.0
EY36068,Volkswagen,Golf VII,1.6 TDI,110,Manual,Diesel,132240,2016,99,13850,13899.0
KR12232,Renault,Megane,1.5 dCi Energy,90,Manual,Diesel,83307,2017,95,12750,12799.0
FY04367,Fiat,Panda,1.2 8v,60,Manual,Benzin,94843,2011,113,5499,5499.0
XG57250,Audi,Q3,2.0 TDI,140,Manual,Diesel,143985,2013,149,17399,16699.0
ZW01881,Renault,Clio,1.5 dCi,90,Manual,Diesel,114254,2016,85,10199,10199.0
GT00317,Nissan,Qashqai,1.3 DIG-T,140,Manual,Benzin,27134,2019,122,22499,22499.0
JX17605,Toyota,RAV 4,2.5 Hybrid,197,Automatic,Other,33664,2018,122,26200,26499.0
VA74635,Kia,Niro,1.6 HEV,104,Automatic,Other,30775,2020,86,22290,21899.0
XR15662,Volkswagen,Golf VII,1.6 TDI,110,Manual,Diesel,75387,2016,99,16223,14999.0
VR14160,Fiat,500,1.2,69,Semi-Automatic,Benzin,6257,2020,114,15700,15599.0
GW89129,Ford,Ka,Urban 1.2 ,70,Manual,Benzin,93040,2014,115,6490,6499.0
EP91739,Abarth,124 Spider,1.4 Turbo,170,Manual,Benzin,26401,2016,148,29999,29599.0
NX26477,Citroen,C5,2.0 HDi,140,Manual,Diesel,141128,2013,134,7990,7999.0
JB07785,Ford,EcoSport,1.5 Ti-VCT,110,Manual,Benzin,38895,2016,149,13200,13199.0
BR61146,MINI,Countryman,One D,90,Manual,Diesel,137459,2015,111,13699,13699.0
HU51609,MINI,MINI,Cooper,135,Manual,Benzin,307,2021,127,29499,29499.0
DH54988,Opel,Astra K,1.0,105,Manual,Benzin,45625,2016,102,12500,12499.0
RS25574,Ford,C-Max,1.5 TDCi,120,Manual,Diesel,102701,2015,105,13800,11899.0
RV43298,Mercedes-Benz,GLA-Klasse,GLA 200 d,135,Duplex,Diesel,34495,2018,115,29299,29299.0
XU60347,MINI,Countryman,Cooper S,185,Automatic,Benzin,51012,2015,162,18999,18999.0
SM17920,Seat,Ateca,1.0 TSI,115,Manual,Benzin,85662,2016,119,16025,16399.0
VD72098,Fiat,Doblo,1.3 JTD,90,Manual,Diesel,87052,2016,136,11500,11499.0
BW08522,Renault,Kadjar,1.2 TCe Energy,130,Manual,Benzin,39491,2018,126,18999,18499.0
TW48929,Opel,Astra K,1.6 CDTI SS,135,Manual,Diesel,136233,2018,99,12999,11999.0
JG85674,Seat,Leon,1.5 TSI ACT,131,Manual,Benzin,34259,2018,116,20850,20499.0
NP07023,Peugeot,108,1.2 VTi,82,Manual,Benzin,49233,2016,99,9990,9299.0
MZ64720,Citroen,C4,BlueHDi SS EAT8,131,Automatic,Diesel,9459,2022,120,25999,25299.0
UB34066,Citroen,Berlingo,1.6 BlueHDi Multispace,99,Manual,Diesel,67211,2017,113,17600,17299.0
ZL87175,Toyota,Yaris,1.5 Hybrid,75,Automatic,Other,14555,2017,75,16195,15399.0
PJ41359,Mercedes-Benz,E-Klasse,E 220 CDI,170,Manual,Diesel,149252,2013,123,19999,19399.0
XA88181,Volkswagen,Golf VI,1.4 TSI,122,Manual,Benzin,123981,2010,144,9999,9999.0
FD86897,Seat,Leon,1.6 TDI StSp,110,Manual,Diesel,142555,2016,99,11990,11899.0
FS08410,Kia,Stonic,1.0 TGDI,120,Manual,Benzin,39942,2019,130,18100,17499.0
CC91200,Jeep,Renegade,1.6  81kw FWD E6,110,Manual,Benzin,12821,2017,141,17999,17999.0
NP34198,Ford,Focus,1.0 EcoBoost,125,Manual,Benzin,30407,2018,108,17299,16899.0
YA63350,Skoda,Karoq,1.5 TSI,150,Manual,Benzin,10146,2020,142,27900,26599.0
RZ03125,Fiat,500X,1.6 ETorq,110,Manual,Benzin,11674,2016,147,15590,14799.0
DT99130,Renault,Captur,TCe GPF 110KW 150CV,150,Automatic,Benzin,40111,2019,125,18499,18499.0
PL43904,Fiat,500,1.2,70,Semi-Automatic,Benzin,34445,2016,111,11999,11999.0
DC97571,Opel,Zafira,1.7 CDTI,110,Manual,Diesel,115601,2012,134,8499,8499.0
EF90156,BMW,1er,116d,115,Manual,Diesel,148685,2014,109,12500,12499.0
YF98521,Peugeot,208,1.2L PureTech 60kw 82cv ,82,Manual,Benzin,32074,2019,110,13799,13499.0
MC13020,Toyota,C-HR,2.0 Hybrid,184,Automatic,Other,30851,2019,92,27499,27499.0
TG32649,Hyundai,i10,1.0,67,Manual,Benzin,15395,2017,108,9995,9999.0
RV54789,Volkswagen,Golf VII Sportsvan,1.2 TSI,110,Manual,Benzin,85376,2015,117,13500,13899.0
ZM03080,Toyota,AYGO,1.0,72,Manual,Benzin,19070,2020,93,11650,11699.0
KX26936,Kia,Stonic,1.0 TGDI,120,Manual,Benzin,41009,2019,130,18875,16799.0
AD66342,Seat,Leon,2.0 TDI,185,Manual,Diesel,46533,2016,121,18750,18799.0
GK11847,Nissan,Micra,1.0G 52 Kw  70CV,70,Manual,Benzin,27535,2018,103,13199,12199.0
BV68737,Opel,Corsa,1.2,85,Manual,Benzin,90459,2012,129,7199,7199.0
NV34628,Nissan,Qashqai,1.5 dCi,116,Manual,Diesel,18115,2019,99,23520,21999.0
GX32030,Peugeot,3008,1.5 Blue-HDi S&S,130,Automatic,Diesel,55384,2019,109,26500,26199.0
RG98837,Volkswagen,Tiguan,T1 Sport,140,Manual,Diesel,127367,2014,138,16999,15899.0
CA21603,Honda,Civic,1.6 iDTEC,120,Manual,Diesel,123244,2016,98,14699,14699.0
WV41048,Renault,Clio,1.5 dCi Energy,90,Manual,Diesel,126708,2012,93,7999,7999.0
YD43687,Hyundai,Tucson,1.7 CRDi,140,Automatic,Diesel,97219,2017,129,21250,21299.0
FG40567,Honda,Civic,1.5 VTEC,182,Manual,Benzin,58814,2017,133,22699,22699.0
TM01636,Nissan,Qashqai,1.6 DIGT,163,Manual,Benzin,22312,2017,134,23999,23999.0
DD91527,Skoda,Kodiaq,2.0 TSI DSG,180,Automatic,Benzin,56518,2017,170,25750,26399.0
BW94896,Volkswagen,Scirocco,1.4 TSI,125,Manual,Benzin,119887,2015,125,16500,16499.0
SF55186,Opel,Mokka X,1.4 Turbo,140,Automatic,Benzin,40305,2018,149,17999,17999.0
KR37991,Ford,Focus,1.0 EcoBoost,125,Manual,Benzin,70939,2018,114,18800,18699.0
AW53942,Audi,A1,1.0 TFSI,95,Manual,Benzin,34736,2018,116,18000,17499.0
WC39051,Volkswagen,Polo,1.4 TDI Sport ,105,Manual,Diesel,63511,2017,100,14490,14299.0
SD31874,Citroen,C4 Cactus,BlueHDi 100,102,Manual,Diesel,23518,2020,89,18299,18299.0
TP12804,Citroen,Berlingo,1.6 Blue-HDi S&S,120,Manual,Diesel,56742,2016,113,16900,16899.0
JT56307,Dacia,Sandero II,1.0 TCe,101,Manual,Benzin,9615,2020,105,11850,12899.0
WM63165,Kia,Rio,1.2 CVVT,85,Manual,Benzin,41013,2017,109,11900,11599.0
FF97939,Hyundai,Tucson,1.6 GDi BlueDrive,132,Manual,Benzin,50192,2018,147,18990,18999.0
KL05059,Peugeot,2008,1.6 Blue-HDi,120,Manual,Diesel,82950,2018,96,17200,15799.0
AT28473,Opel,Karl,1.0,75,Manual,Benzin,32185,2017,104,9990,8899.0
ZY16502,Seat,Ateca,1.0 TSI,115,Manual,Benzin,9445,2018,119,20990,20999.0
KS97909,Volkswagen,Polo,1.0 TSI,95,Automatic,Benzin,23974,2019,111,18499,18499.0
MX54311,Mazda,3,2.0,120,Manual,Benzin,74492,2017,119,16899,16899.0
NL32244,Smart,fortwo,0.9 ,90,Automatic,Benzin,35719,2018,96,14500,13199.0
AS77562,Renault,Megane,Zen,140,Manual,Benzin,46171,2019,128,18490,17299.0
EC19868,Audi,A6,3.0 TDI ,218,Automatic,Diesel,159211,2017,115,26999,26499.0
AZ19830,Toyota,Yaris,1.5 Dual VVT-iE,110,Manual,Benzin,19408,2019,118,15499,15499.0
AV84588,MINI,MINI,One,102,Manual,Benzin,22118,2019,117,21999,21599.0
DA18484,Dacia,Duster II,1.6 SCe,115,Manual,Benzin,40496,2018,149,15299,15299.0
TP22205,Dacia,Logan II,1.2,75,Manual,Benzin,65119,2015,135,8000,7399.0
SW97212,Opel,Zafira Tourer,1.6 CDTI DPF,120,Manual,Diesel,76530,2016,119,14000,13899.0
KX49211,Kia,Picanto,1.0,67,Manual,Benzin,10818,2019,113,10900,9599.0
HV07480,Volkswagen,Polo,1.4 TDI,90,Duplex,Diesel,137732,2014,92,11750,11699.0
PE91978,Renault,Kangoo,Dynamique M1AF ,110,Manual,Diesel,101229,2014,119,11250,11299.0
NF40126,Nissan,Juke,1.5 Visia,110,Manual,Diesel,40332,2016,104,15350,15399.0
HF27628,Ford,Fiesta,1.0 EcoBoost,95,Manual,Benzin,10796,2020,94,17199,16599.0
GA54375,Renault,Clio,TCe 66kw 90cv,90,Manual,Benzin,81553,2017,105,12900,12399.0
VX82519,Seat,Leon,1.4 TSI,125,Manual,Benzin,67538,2016,120,15250,14099.0
UM34909,Hyundai,Tucson,1.6 TGDI,177,Automatic,Benzin,12946,2019,161,24990,24999.0
UN65263,Renault,Clio,0.9 TCe Energy,90,Manual,Benzin,84283,2018,118,12250,11699.0
UZ69661,Peugeot,2008,GT Line,120,Manual,Diesel,50796,2017,96,18500,16899.0
BU93991,Seat,Arona,1.6 TDI,115,Manual,Diesel,70250,2018,106,18499,18499.0
MT97597,Kia,Sportage,1.6 GDI,132,Manual,Benzin,34207,2019,152,20699,19999.0
FL97416,Fiat,Panda,1.2,70,Manual,Benzin,35431,2017,119,10199,10199.0
EL88833,Audi,A6,2.0 TDI,190,Duplex,Diesel,86273,2016,115,24500,24999.0
CE92282,Kia,Carens,1.7 CRDi VGT,115,Manual,Diesel,144862,2016,117,12499,12499.0
ZU78609,Kia,cee'd,1.4 CVVT,100,Manual,Benzin,33660,2018,138,13999,13999.0
KU16797,Renault,Megane, TCe  151kw 205cv,205,Automatic,Benzin,64349,2018,134,22999,22999.0
SB32902,Audi,Q3,2.0 TDI,150,Automatic,Diesel,40725,2018,133,29500,29199.0
MW95055,Hyundai,Kona,1.6 CRDi HEV,136,Manual,Other,12901,2021,128,21500,21499.0
MF37232,Volkswagen,Touran,1.6 TDI,115,Duplex,Diesel,103524,2017,112,20999,20999.0
VH52868,Fiat,500X,1.0 Turbo,120,Manual,Benzin,42027,2019,139,17990,17699.0
VD79468,Fiat,500,1.2 8v 69cv,70,Manual,Benzin,37256,2016,115,10950,10599.0
TZ95885,Ford,EcoSport,1.0 EcoBoost,125,Manual,Benzin,79706,2016,125,13899,13899.0
FC08778,Jeep,Renegade,1.0 TGDi,120,Manual,Benzin,41308,2019,132,19990,18099.0
KV48172,Subaru,XV,2.0D,147,Manual,Diesel,142344,2015,141,16300,15799.0
RH48250,Citroen,C3,1.2 VTi,82,Manual,Benzin,96626,2014,107,8499,8499.0
CS74880,Opel,Astra K,1.0,105,Manual,Benzin,15328,2017,104,14499,14499.0
VU82479,Peugeot,2008,1.6 e-Di 92,92,Manual,Diesel,50012,2015,103,12100,12099.0
MR14849,Renault,Megane,1.2 TCe Energy,132,Manual,Benzin,79046,2016,119,15399,14199.0
VK40251,Renault,Espace,1.6 dCi Energy,160,Duplex,Diesel,156841,2016,120,18399,18399.0
GA99993,Kia,cee'd,1.0 TGDI,120,Manual,Benzin,17067,2019,119,15500,15499.0
KC59666,Mazda,CX-5,2.5 Zenith AWD,195,Automatic,Benzin,26677,2018,164,28500,25799.0
BG34345,Volkswagen,Touran,1.6 TDI,115,Manual,Diesel,67287,2017,120,23999,23999.0
NR38306,Seat,Ibiza,1.0 TSI,95,Manual,Benzin,66886,2015,101,10750,10799.0
MN02525,Kia,Stonic,1.0 TGDI,101,Manual,Benzin,13618,2020,97,18700,17199.0
ZG32566,Dacia,Sandero II,0.9 TCe,90,Manual,Benzin,11727,2018,115,13100,12199.0
JT90497,Citroen,C4 Grand Picasso, eHDi Airdream ,115,Manual,Diesel,142460,2014,105,12999,12799.0
CS81094,Fiat,Talento,1.6 Ecojet,125,Manual,Diesel,47933,2019,165,25950,25999.0
ND83404,Kia,cee'd,1.4 CVVT,100,Manual,Benzin,46525,2019,145,15699,15299.0
GW46265,Dacia,Dokker,1.5 dCi,90,Manual,Diesel,38450,2017,108,16100,16099.0
TP36481,Dacia,Sandero II,dCi 90cv,90,Manual,Diesel,83847,2015,90,9200,8999.0
YH30174,Peugeot,2008,1.2 e-THP,110,Automatic,Benzin,37738,2017,110,16500,16499.0
GT67534,Dacia,Sandero II,0.9 TCe,90,Manual,Benzin,13689,2019,123,12550,11899.0
ZK38330,Honda,Civic,1.5 VTEC,182,Manual,Benzin,117644,2017,133,19999,19999.0
SY30687,Kia,Sportage,1.7 CRDi,115,Manual,Diesel,37567,2018,119,21499,21499.0
FV59986,Toyota,C-HR,1.8 Hybrid,122,Automatic,Other,103899,2019,86,21499,21499.0
TK05686,Seat,Ibiza,1.2 TSI,90,Manual,Benzin,49284,2015,116,10300,10299.0
UU62724,Peugeot,5008,1.2 PureTech,130,Manual,Benzin,88986,2018,117,22795,21599.0
AK78058,Nissan,Note,1.5 dCi,90,Manual,Diesel,83405,2017,93,10250,10699.0
ZL09022,BMW,3er,320d,185,Automatic,Diesel,134827,2014,117,18250,16899.0
TA83357,Peugeot,Rifter,GT Line Standard BlueHDi 96kw,131,Manual,Diesel,45258,2020,114,28990,28399.0
LJ54253,Fiat,500,1.0 Mild-Hybrid,70,Manual,Benzin,4410,2020,88,15950,16099.0
VM46672,BMW,3er,320d,190,Automatic,Diesel,47789,2015,114,20999,20999.0
FW23851,Seat,Leon,1.6 TDI,115,Automatic,Diesel,98523,2017,108,15999,15999.0
DA62150,Kia,Picanto,1.0,67,Manual,Benzin,18733,2019,101,11290,11299.0
BZ98798,Ford,Fiesta,1.5 TDCi,95,Manual,Diesel,143829,2015,94,9900,9199.0
UR96679,Nissan,Micra,1.2,80,Manual,Benzin,52664,2016,115,9290,9299.0
RZ54620,Nissan,Qashqai,1.6 dCi,130,Manual,Diesel,81640,2014,115,14700,15699.0
LW31159,Toyota,Yaris,1.0,70,Manual,Benzin,40098,2017,99,11500,10799.0
KX57483,Peugeot,5008,2.0 Blue-HDi SS,150,Manual,Diesel,119944,2018,118,24100,23699.0
EF15771,Seat,Ibiza,1.6 TDI,95,Manual,Diesel,120004,2018,99,12999,12899.0
WG56318,Alfa Romeo,Giulietta,1.6 JTD,120,Manual,Diesel,95192,2017,103,14999,14999.0
GC00609,Opel,Insignia,2.0 CDTI,140,Manual,Diesel,106687,2014,98,11299,11299.0
BT14601,Mitsubishi,ASX,1.6,117,Manual,Benzin,88436,2016,136,15499,15499.0
GZ65024,Mercedes-Benz,A-Klasse,A 180,122,Manual,Benzin,70588,2018,131,22999,22999.0
AN02212,Peugeot,3008,1.2 e-THP,130,Automatic,Benzin,32020,2019,116,26500,26899.0
TA44975,Seat,Leon,1.2 TSI SS,110,Manual,Benzin,35389,2018,114,16500,16199.0
UC84523,Renault,Clio,1.2,75,Manual,Benzin,26247,2014,130,7999,7999.0
ZT40726,Hyundai,Tucson,1.6,132,Manual,Benzin,19140,2018,162,19499,19499.0
XP27214,Kia,Rio,1.2,85,Manual,Benzin,69367,2015,109,9999,9999.0
XD28810,Peugeot,Rifter,1.5 Blue-HDi S&S,131,Manual,Diesel,44541,2019,118,26990,26999.0
UT44773,Toyota,Yaris,1.33 Dual VVT-i,100,Automatic,Benzin,72870,2015,114,10999,10999.0
WW08141,Dacia,Sandero II,0.9 TCe,90,Manual,Benzin,44064,2019,127,13399,13399.0
VU61264,Dacia,Sandero II, TCE 90,90,Manual,Benzin,43106,2015,124,10590,10599.0
HP23874,Nissan,Juke,1.6,115,Manual,Benzin,74313,2013,139,12000,11399.0
XT50744,Hyundai,i30 Fastback,1.6 CRDi,136,Manual,Diesel,65416,2019,112,18999,18999.0
GC36616,Volkswagen,Scirocco,1.4 TSI,122,Manual,Benzin,134334,2010,149,10599,10599.0
NP83521,MINI,MINI,One D,90,Manual,Diesel,142399,2012,99,9900,9899.0
DA71733,Citroen,C4,1.6 BlueHDi Feel Edition,100,Manual,Diesel,95359,2015,98,11999,10999.0
GE74748,Suzuki,SX4,1.6,120,Manual,Benzin,111678,2011,,7999,7999.0
EJ82450,Citroen,C3,1.2 VTi,82,Manual,Benzin,21466,2018,109,13500,12999.0
TA27337,Opel,Astra,1.6 CDTI SS,110,Manual,Diesel,64720,2014,97,10800,10799.0
PP21836,BMW,2er,218d,150,Automatic,Diesel,56583,2019,119,26999,26999.0
TS51104,Peugeot,208,Active ,82,Manual,Benzin,128882,2014,104,8550,8399.0
FV52349,Ford,Ka,1.2 Duratec AutoStartStop,70,Manual,Benzin,37673,2013,115,6490,6499.0
UJ12731,Volkswagen,Touran,1.6 TDI,105,Manual,Diesel,147094,2013,119,12490,11999.0
MB57113,Citroen,C3,1.2 PureTech,82,Manual,Benzin,470,2018,110,14499,14499.0
WS62819,Peugeot,208,1.2 e-VTi,82,Manual,Benzin,131608,2018,109,10999,10999.0
XN29225,Dacia,Duster,1.5 dCi,90,Manual,Diesel,73208,2016,115,12990,12799.0
XB53057,Lancia,Ypsilon,1.2,70,Manual,Benzin,42197,2015,120,8999,8799.0
FL29262,BMW,1er,118d,143,Automatic,Diesel,132087,2010,140,10499,10499.0
PK25527,Kia,Sportage,1.7 CRDi VGT 115cv ,115,Manual,Diesel,70196,2015,139,15399,15399.0
KB95062,Audi,A3,1.6 TDI,110,Manual,Diesel,95971,2017,107,17700,17699.0
HZ51590,Kia,Rio,1.2,85,Manual,Benzin,40705,2017,109,12000,10999.0
